iso3c,location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths,demography_adjusted_ifr_percent,aged_65_older_pct
CHN,China,2022-06-13,140566.7684505458,976484.2845921136,1845.324,421.989,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-01-17,272774.6112298151,700140.5559598969,1355.727,-330.313,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-09-06,550216.4988778898,978357.0702497918,2734.651,1022.641,6290.5719367543525,0,FALSE,0.497013631102855,10.641
CHN,China,2020-08-03,0,906283.9966793268,1739.14,-309.04,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-12-20,200770.9522545262,777240.6546331863,1874.773,711.896,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-12-28,651186.1642141204,1036332.7437460321,3780.545,3109.178,441792.30962492345,0,FALSE,0.497013631102855,10.641
CHN,China,2020-05-18,0,533993.2013757508,517.487,-281.189,0,0.125,FALSE,0.497013631102855,10.641
CHN,China,2020-09-28,14540.245071275445,467425.00700533704,1058.794,72.267,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-03-07,499367.79288984434,1378611.4849196216,3076.949,1445.762,12104.899390083227,0,FALSE,0.497013631102855,10.641
CHN,China,2021-03-08,0,408741.30463830056,438.487,-410.095,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-06-29,0,1142379.1310111987,2298.806,-307.432,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-08-31,13837.849848783539,615355.7585963021,1308.997,68.776,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-03-29,87948.89569327328,635397.6636400264,766.74,-40.585,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-10-17,80374.4555483491,911997.7232700816,1393.089,-155.386,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-02-17,0,110569.80444994544,-149.841,-1348.483,0,119.875,TRUE,0.497013631102855,10.641
CHN,China,2020-04-20,0,124623.14134636256,-115.269,-710.976,0,0.429,FALSE,0.497013631102855,10.641
CHN,China,2020-02-24,0,143974.32086765347,-75.455,-1151.408,0,103.5,TRUE,0.497013631102855,10.641
CHN,China,2022-01-24,273834.9443213454,765310.5995422567,1360.997,-207.726,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-11-15,283980.943715387,1144549.0916169207,2650.544,1230.404,24041.795339667817,0,FALSE,0.497013631102855,10.641
CHN,China,2020-03-23,191403.40233508244,191403.40233508244,951.301,-1090.638,0,8.875,TRUE,0.497013631102855,10.641
CHN,China,2022-11-07,141673.37793886015,909063.7997139726,1789.006,-222.007,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-05-04,0,413267.33744550636,403.779,-453.128,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-04-19,67420.68607986617,549611.8876938199,858.616,35.44,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-06-20,143130.48083238248,1067321.8334533377,1781.515,514.624,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-04-06,0,119090.69750996614,-136.416,-707.806,0,3.875,FALSE,0.497013631102855,10.641
CHN,China,2021-07-19,95982.2769732602,1037891.8559142045,1811.659,477.045,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-08-17,0,994397.8777872215,1888.78,-312.401,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-04-04,447468.41149307555,1400225.9826471033,2693.137,976.067,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-03-28,518148.1631168901,1286576.9869954917,3020.697,1337.971,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-04-13,0,130973.47019548589,-108.753,-696.48,0,1.5,FALSE,0.497013631102855,10.641
CHN,China,2021-10-25,292323.9744503768,1047097.8408483544,2349.753,1221.886,19433.068623426167,0,FALSE,0.497013631102855,10.641
CHN,China,2022-07-11,97784.2396236863,994446.3674029821,1660.978,164.573,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-11-16,121267.90137779337,818478.7590178092,1762.575,299.528,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-03-01,0,316717.47040560347,167.358,-565.81,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-08-15,388845.2708453087,1180890.9520200654,2504.985,1140.687,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-10-12,40891.83621564309,593155.9650503648,1430.443,203.238,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-09-20,246997.65221247033,1237699.856712172,2445.184,1129.896,62973.926752368716,0,FALSE,0.497013631102855,10.641
CHN,China,2022-07-18,98479.59278579803,975888.1238804997,1701.48,228.785,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-10-11,296825.0582436643,1067737.5162174937,2443.232,1189.163,67252.88384109268,0,FALSE,0.497013631102855,10.641
CHN,China,2021-06-07,71857.78772455652,797116.5682536634,1553.164,357.143,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-11-23,96205.20848472427,723872.2994411115,1530.881,91.816,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-05-02,159102.07497636127,981843.2925414324,1758.327,331.394,0,48.375,FALSE,0.497013631102855,10.641
CHN,China,2020-12-14,0,612803.3135110737,1178.369,-227.397,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-08-02,204079.71462458617,1208806.2829722837,2718.145,1014.304,27479.32681382256,0,FALSE,0.497013631102855,10.641
CHN,China,2020-03-16,0,22682.47648456747,-366.578,-1126.565,0,14.5,TRUE,0.497013631102855,10.641
CHN,China,2020-01-27,0,116235.24262666475,-6.906,-671.099,0,13,TRUE,0.497013631102855,10.641
CHN,China,2021-05-03,52394.74004408329,567105.1704850936,733.69,-44.156,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-02-15,0,280835.55714614724,120.486,-646.322,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-09-14,14685.110313382054,478979.4184754151,1130.132,72.987,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-01-31,356941.9204989304,1062848.5154981208,2078.268,688.161,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-07-04,138928.9864078405,1003127.2158344956,1528.306,260.985,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-01-10,0,541876.2849670522,747.695,-361.378,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-10-31,124425.76245399231,909063.7997139726,1800.874,-245.892,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-03-15,0,395962.17826724617,418.984,-384.646,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-06-08,0,758097.5176956985,1310.991,-58.712,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-05-09,148329.53341020853,1052438.941844135,1796.384,342.432,0,12.375,FALSE,0.497013631102855,10.641
CHN,China,2022-02-14,520086.54053696664,1127224.6170730463,2602.051,1038.847,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-01-20,0,60032.15632897882,-164.231,-1552.81,0,NA,TRUE,0.497013631102855,10.641
CHN,China,2020-12-21,0,617496.1425484272,1109.347,-228.295,0,0,FALSE,0.497013631102855,10.641
