custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Asia,2020-03-16,4666863690,-0.02110705158421794,0.004627505369752291,-0.0015191367697040385,-0.02110705158421794,-0.05488339526933909,-0.08092858337090388,-0.08683154193337475,-0.9622982979096283,-0.019638740773665883,0.002405255594683975
Oceania,2020-03-16,44446737,0.04968876234332164,0.07039470602639782,0.06798064050874443,0.052736414297402626,0.031004374469914688,0.016440960094844602,0.004009792131071962,1.0031300583769287,0.04361435036421429,0
European Union,2020-03-16,447593544,0.5436357581761578,0.5436357581761578,0.5436357581761578,0.5436357581761578,0.5436357581761578,0.5436357581761578,0.5436357581761578,14.678165470756262,0.5436357581761578,0.07061369351058677
North America,2020-03-16,375152636,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.10609390221256057,0.053046951106280285,0.002970257684661451
Latin America and Caribbean,2020-03-23,655119303,0.04818852325346255,0.05441905265693308,0.0537742738240621,0.04818852325346255,0.04256479540005403,0.038707162667140645,0.03739854670739845,2.4491980177360735,0.05102495870283486,0.002773845911238552
Asia,2020-03-23,4666863690,-0.03041458391675003,0.003022642527701824,1.4313558126484438e-4,-0.01935806674996429,-0.04590612161583596,-0.07094269817343477,-0.07595245249271201,0.6976083843432214,0.014236905802922886,0.0037802404009504437
Oceania,2020-03-23,44446737,0.05320411231945707,0.08533506404808396,0.08134201659095533,0.05643682055198543,0.033039590327524494,0.0164276795112245,0.0136122018339621,1.0859257875662294,0.04721416467679258,0.0012846837328013526
European Union,2020-03-23,447593544,0.9677335386647603,0.9677335386647603,0.9677335386647603,0.9677335386647603,0.9677335386647603,0.9677335386647603,0.9677335386647603,26.128805543948527,0.9677335386647603,0.22860025880980983
North America,2020-03-23,375152636,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.4604030213413403,0.23020151067067016,0.027341138021485207
Latin America and Caribbean,2020-03-30,655119303,0.11885597635796498,0.12805326989635984,0.1255393239933603,0.11982148014933376,0.11099030615734035,0.10508290430694074,0.1040348138757632,5.904847770042142,0.12301766187587795,0.008650892502654078
Asia,2020-03-30,4666863690,-0.05656548740915352,-0.03751855125454268,-0.03780056066759247,-0.05656548740915352,-0.09466936257259022,-0.12499528206559475,-0.12789557017157585,-0.3029670726861361,-0.006183001483390532,0.004536415618630022
Oceania,2020-03-30,44446737,0.07162308403604187,0.10501250871135404,0.10216306986339653,0.07627152325707041,0.05440806191044499,0.032525612934915994,0.021214180884520227,1.631490503117147,0.07093436970074553,0.004340026130602118
European Union,2020-03-30,447593544,1.1492362204179822,1.1492362204179822,1.1492362204179822,1.1492362204179822,1.1492362204179822,1.1492362204179822,1.1492362204179822,31.02937795128552,1.1492362204179822,0.48822978554847074
North America,2020-03-30,375152636,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,1.2065374179933852,0.6032687089966926,0.13624907596277694
Latin America and Caribbean,2020-04-06,655119303,0.12560489198965866,0.1344588081407179,0.1318670625469751,0.12730422071504574,0.1191167793040311,0.11386133447628227,0.11060774216997972,6.296332773329368,0.1311735994443618,0.02473366290048089
Asia,2020-04-06,4666863690,-0.04409138646743866,-0.024248218522684644,-0.031695425248133444,-0.04409138646743866,-0.08860926894722064,-0.11757274107899789,-0.12400762029298995,-0.3501049777187439,-0.0071449995452804865,0.006284498958657179
Oceania,2020-04-06,44446737,0.04630568068799281,0.07597978952657254,0.0693454935514378,0.050063320683194135,0.026118291420239966,0.005175846579579738,-0.004989914313972849,0.9130102138962493,0.03969609625635867,0.008358318857017558
European Union,2020-04-06,447593544,1.0015322179873625,1.0015322179873625,1.0015322179873625,1.0015322179873625,1.0015322179873625,1.0015322179873625,1.0015322179873625,27.041369885658785,1.0015322179873625,0.6668597078781815
North America,2020-04-06,375152636,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,1.7832474420015565,0.8916237210007782,0.4221140538647315
Latin America and Caribbean,2020-04-13,655119303,0.12780225459668781,0.13449728683792614,0.13415332841866412,0.12930797208729405,0.12093571063409729,0.1156508032089047,0.11402073872186921,6.385127941331645,0.13302349877774258,0.04511788900837807
Asia,2020-04-13,4666863690,-0.04730763886271275,-0.027841592491757047,-0.030354347135285783,-0.04730763886271275,-0.09264008783913143,-0.11851830610707521,-0.12304730092284233,-0.4206439996116249,-0.008584571420645407,0.0073956520465674885
Oceania,2020-04-13,44446737,0.021260827206495348,0.04930443635900519,0.04161601437133713,0.022145263183447207,-6.176427185097004e-4,-0.016810938315903228,-0.04268185401260922,0.3349186047352521,0.01456167846675009,0.009321269185632232
European Union,2020-04-13,447593544,0.6807309612369478,0.6807309612369478,0.6807309612369478,0.6807309612369478,0.6807309612369478,0.6807309612369478,0.6807309612369478,18.37973595339759,0.6807309612369478,0.6616337611875832
North America,2020-04-13,375152636,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,1.697781276856818,0.848890638428409,0.6069148345261793
Latin America and Caribbean,2020-04-20,655119303,0.1689598109645014,0.17694322693360842,0.17601143527980712,0.17126382915542873,0.16281323058430883,0.1569891893613486,0.15418020874015884,8.381222383995324,0.17460879966656925,0.06894087808613998
Asia,2020-04-20,4666863690,-0.05658001992018924,-0.03436925600008811,-0.04178739574718721,-0.05658001992018924,-0.09847318274803069,-0.1267262215271634,-0.13569687040820705,-0.5829341478374882,-0.011896615261989553,0.007680340027244293
Oceania,2020-04-20,44446737,6.588783529532802e-4,0.025980139931405414,0.024956354961172107,0.004536816529663739,-0.018518696638467103,-0.03933298859819836,-0.0473898432656654,-0.04505465243706447,-0.0019588979320462815,0.0038563010823494197
European Union,2020-04-20,447593544,0.3735709072419374,0.3735709072419374,0.3735709072419374,0.3735709072419374,0.3735709072419374,0.3735709072419374,0.3735709072419374,10.08641449553231,0.3735709072419374,0.5890549663513467
North America,2020-04-20,375152636,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,1.5519968058890443,0.7759984029445222,0.6328090948026819
Latin America and Caribbean,2020-04-27,655119303,0.21535540004684398,0.2252794023465805,0.2235336512656896,0.21535540004684398,0.20702314616190168,0.19974819807756738,0.19940114088882904,10.386580133969266,0.2163870861243597,0.11022541950652918
Asia,2020-04-27,4666863690,-0.06615252319668304,-0.005705971736286181,-0.012829530928772516,-0.04738832883598086,-0.08563891757664784,-0.12242269084361333,-0.1274178763282611,-0.5270675064871793,-0.010756479724228149,0.007548709870289784
Oceania,2020-04-27,44446737,-0.057625503025232186,-0.020422540789974773,-0.02917087062034624,-0.0475556762281092,-0.07313281659523863,-0.09170037258006433,-0.09310956360620289,-0.9513721880270815,-0.0413640081750905,0.005786701507469491
