continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"Europe, United States, Canada, and Oceania",2020-03-09,1168254059,518.6517803693425,539.298812104868,537.2445388349314,527.6765024936878,518.3115177561853,512.8820160563698,510.5831768001658,39146.795183149785,521.9572691086638,74.72633333333333
Latin America and Caribbean,2020-03-16,659285500,-144.0034381564839,-100.62378278138439,-109.58793064574861,-136.2880303694536,-164.90765831270048,-201.91279102609482,-214.4675323023931,-5776.64746521287,-120.34682219193479,3.5816666666666666
Asia,2020-03-16,4695793204,-472.0906527023789,1440.1713289665422,766.0525753242582,-394.08215708354305,-1893.942265327165,-3373.1854158066676,-3706.916087766252,-45746.11456159466,-914.9222912318932,112.535
Africa,2020-03-16,1425436439,-741.3325022343823,1149.0722894239016,808.2679806373069,171.9088986877261,-880.1353366399394,-1794.6339920713028,-2249.74341679531,5366.299091112517,95.8267694841521,1.336
"Europe, United States, Canada, and Oceania",2020-03-16,1168254059,2547.9626482809017,2568.9803676737147,2566.982274285045,2556.1570273716297,2546.655723253781,2541.383027474549,2539.3991665649382,191306.79518315085,2550.757269108678,353.88433333333336
Latin America and Caribbean,2020-03-23,659285500,271.88029802692853,311.71710277408914,278.8107759425231,271.88029802692853,217.06813861794842,175.8255419553934,167.31964093826286,12943.581106215352,269.6579397128198,18.172
Asia,2020-03-23,4695793204,-903.4133225373122,1840.6674999955435,878.0715960509866,-326.3881133135567,-1930.3428047185846,-3331.5551955730116,-3608.7591551456903,33363.255073039945,667.265101460799,176.84666666666666
Africa,2020-03-23,1425436439,-785.6865120787473,1113.612390225685,717.4079397122485,-20.31184518011432,-1122.3875298125677,-2097.993687335317,-2343.988493486438,1838.2990911124855,32.82676948415153,10.136
"Europe, United States, Canada, and Oceania",2020-03-23,1168254059,5270.215223573796,5292.248652911549,5290.701935645244,5278.932871953927,5269.210854698688,5262.649319497675,5260.587807603133,395562.22375457856,5274.162983394381,1274.1746666666666
Latin America and Caribbean,2020-03-30,659285500,700.9879968117021,766.3933100482992,750.9739995281215,711.8329327945677,668.9839677065362,633.2562509595276,618.7925090245661,35657.63824907264,742.8674635223466,56.67366666666666
Asia,2020-03-30,4695793204,-3154.79418426624,-400.8705580695183,-869.3654841516607,-2494.795142397579,-4178.220867831906,-5891.785671304974,-6405.538574052335,-14383.778289362741,-287.6755657872548,213.27933333333334
Africa,2020-03-30,1425436439,-888.6203210055213,692.5883553142581,355.49650875336283,-327.3319254803243,-1351.6419293610463,-2443.8194600514425,-2630.718457603024,-2337.7009088875066,-41.7446590872769,19.844
"Europe, United States, Canada, and Oceania",2020-03-30,1168254059,8364.052536769246,8387.518758276337,8384.924279945402,8374.032968688882,8364.052536769246,8358.246204659947,8356.008054532396,627787.5094688638,8370.500126251518,3222.714
Latin America and Caribbean,2020-04-06,659285500,745.8498899458157,812.9362755938189,794.8802446187714,761.5642929953516,710.192013683327,672.1062011798227,664.416807395876,38021.49152096205,792.1144066867095,162.035
Asia,2020-04-06,4695793204,-2340.4518168204154,1351.1298336333239,-300.77076451741846,-1921.3524730571376,-3746.2123611601687,-5155.866329863697,-6111.821248452469,-16727.106630376467,-334.54213260752937,296.33733333333333
Africa,2020-04-06,1425436439,-940.4084946921014,512.2861221218259,281.2370097956005,-529.4290265546506,-1551.5252944363078,-2621.4779993952384,-3039.811109049811,-5523.596392758531,-98.63564987068804,48.045
"Europe, United States, Canada, and Oceania",2020-04-06,1168254059,9347.010926372282,9369.442862065342,9367.267824769935,9354.975065302106,9345.817885803366,9339.910625760895,9337.42798680042,701270.7836624142,9350.277115498855,5714.727333333333
Latin America and Caribbean,2020-04-13,659285500,757.9823218482693,828.0789559116897,807.325469179869,776.3826580736486,723.8377426256045,688.2276343515261,674.5690447717373,38644.348663819146,805.0905971628989,295.576
Asia,2020-04-13,4695793204,-2301.5564435081833,1871.2672427574141,-198.17001492893726,-1999.716657475397,-3594.981175260894,-5346.065397245366,-6050.6762883182255,-20019.106630376486,-400.38213260752974,347.431
Africa,2020-04-13,1425436439,-953.2227324724956,670.5656563427879,508.2872449896146,-388.34423885198737,-1446.1680279672403,-2571.260478619986,-3061.030812195403,-4521.996392758485,-80.74993558497295,50.504
"Europe, United States, Canada, and Oceania",2020-04-13,1168254059,8274.456523152054,8298.548450450027,8294.935201074743,8282.782019893815,8273.532651276846,8266.595125627746,8265.31685334313,620857.9265195559,8278.10568692741,6684.147
