custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Asia,2020-04-27,4694897197,-3.464343172473798,-0.5779054675300576,-0.9234025322490109,-3.464343172473798,-5.678208641406844,-7.43661435064512,-9.366802393864866,-106.1853492502471,-2.167047943882594,0.36661271328791567
Oceania,2020-04-27,45038907,1.551655934555365,6.728843907277141,6.181793102858954,3.39985108135142,1.1579406054199655,0.1440490629641705,-0.33554890252928393,47.61438093545443,1.983932538977268,0.2487049696832119
European Union,2020-04-27,450146793,28.05057325324897,28.05057325324897,28.05057325324897,28.05057325324897,28.05057325324897,28.05057325324897,28.05057325324897,757.3654778377221,28.05057325324897,20.99743449688422
North America,2020-04-27,376744184,26.890440416556935,26.890440416556935,26.890440416556935,26.890440416556935,26.890440416556935,26.890440416556935,26.890440416556935,53.78088083311387,26.890440416556935,15.33852716356731
Latin America and Caribbean,2020-05-04,660385158,7.325605003149426,7.694504039149639,7.553800069064142,7.325605003149426,6.904714055647886,6.5039621056718655,6.380578093259127,390.5295838845871,7.510184305472828,3.266064165542618
Asia,2020-05-04,4694897197,-3.2234608123987423,-0.5271868446982966,-1.0041669368413306,-3.2234608123987423,-5.443929800183705,-7.49511806010275,-9.713319146557202,-107.21190842280116,-2.187998131077575,0.41741310145241084
Oceania,2020-05-04,45038907,1.2671283127515194,6.429172011839255,6.144990813693972,3.2090004074922724,0.8844422525413259,-0.3232170866553465,-0.8291921214180711,43.84199890018916,1.8267499541745482,0.27978920536415325
European Union,2020-05-04,450146793,28.90733209365266,28.90733209365266,28.90733209365266,28.90733209365266,28.90733209365266,28.90733209365266,28.90733209365266,780.4979665286219,28.90733209365266,22.834172007529997
North America,2020-05-04,376744184,30.512805360019456,30.512805360019456,30.512805360019456,30.512805360019456,30.512805360019456,30.512805360019456,30.512805360019456,61.02561072003891,30.512805360019456,19.173226307854563
Latin America and Caribbean,2020-05-11,660385158,10.475343869443497,10.858065499925907,10.748357001493643,10.475343869443497,10.001506067530388,9.606824399442683,9.455594145032832,552.5650579393907,10.626251114219052,4.938726530253122
Asia,2020-05-11,4694897197,-2.951247311266853,-0.3040351857448465,-0.7660454414342407,-2.951247311266853,-5.640251328847575,-7.6373951577297,-9.862096078729843,-108.43670537585332,-2.212993987262313,0.4719193215595345
Oceania,2020-05-11,45038907,0.9812194011249828,6.1449478724018425,6.130693925143402,3.0824144632729698,0.5992291294774194,-0.7408354640564399,-1.1969819181890127,40.037644508223444,1.6682351878426436,0.2864567739177152
European Union,2020-05-11,450146793,29.505997348126936,29.505997348126936,29.505997348126936,29.505997348126936,29.505997348126936,29.505997348126936,29.505997348126936,796.6619283994273,29.505997348126936,24.21661149099867
North America,2020-05-11,376744184,33.608977708031055,33.608977708031055,33.608977708031055,33.608977708031055,33.608977708031055,33.608977708031055,33.608977708031055,67.21795541606211,33.608977708031055,22.826368568439534
Latin America and Caribbean,2020-05-18,660385158,13.88617919670595,14.277251462446827,14.195833016106517,13.88617919670595,13.326706368440497,12.923459095279345,12.778882978916869,726.9610460080479,13.980020115539384,6.954673260539874
Asia,2020-05-18,4694897197,-2.624406988969504,0.02367327746352868,-0.3102756644763052,-2.624406988969504,-5.4872319681724955,-7.75212240646181,-10.04374931852377,-109.26705151937907,-2.2299398269261035,0.5268723885116413
